"club","in_degree","out_degree","in_strength","out_strength","betweenness","in_coreness","out_coreness","country_now","season_now","p_mid","rk_mid","g_diff_mid","pts_mid","p_final","rk_final","g_diff_final","pts_final","country_before","season_before","p","rk","g_diff","pts"
"Torino",13,13,19700013,47660013,3215.32433500866,4,4,"Italy",2014,19,13,-5,22,38,9,3,54,"Italy",2013,38,7,10,57
"Toulouse",9,3,3000009,13000003,1145.56070097146,2,2,"France",2014,19,14,-7,21,38,17,-21,42,"France",2013,38,9,-7,49
"TSG Hoffenheim",9,4,19200009,5000004,960,2,2,"Germany",2014,17,7,4,26,34,8,-6,44,"Germany",2013,34,9,2,44
"UD Almería",13,5,13,3000005,6831.76791503018,3,4,"Spain",2014,19,20,-13,13,38,19,-29,29,"Spain",2013,38,17,-28,40
"Udinese Calcio",16,18,21500016,3700018,5749.03126598446,3,4,"Italy",2014,19,12,-3,24,38,16,-13,41,"Italy",2013,38,14,-11,44
"Valencia",16,10,30050016,39250010,4215.92633719347,3,3,"Spain",2014,19,5,18,38,38,4,38,77,"Spain",2013,38,8,-2,49
"VfB Stuttgart",7,2,10200007,2,2158,1,1,"Germany",2014,17,15,-12,17,34,14,-18,36,"Germany",2013,34,15,-13,32
"VfL Wolfsburg",6,4,10050006,4800004,192,3,3,"Germany",2014,17,2,16,34,34,2,34,69,"Germany",2013,34,5,13,60
"Villarreal",8,5,12000008,6000005,3403.58935935949,3,3,"Spain",2014,19,6,15,35,38,6,11,60,"Spain",2013,38,6,16,59
"Werder Bremen",8,5,1600008,200005,3158.00230320959,2,3,"Germany",2014,17,16,-13,17,34,10,-15,43,"Germany",2013,34,12,-24,39
"West Brom",11,3,18530011,3,1104.89754513148,3,3,"England",2014,19,16,-10,17,38,13,-13,44,"England",2013,38,17,-16,36
"West Ham",16,6,33250016,8800006,4873.05079826278,3,3,"England",2014,19,6,7,31,38,12,-3,47,"England",2013,38,13,-11,40
"1. FC Köln",7,2,13280007,10500002,0,3,2,"Germany",2015,17,9,-3,24,34,9,-4,43,"Germany",2014,34,12,-6,40
"1.FSV Mainz 05",15,9,10600015,37500009,1685.40617707155,3,4,"Germany",2015,17,8,0,24,34,6,4,50,"Germany",2014,34,11,-2,40
"AC Milan",18,12,105800018,8500012,4557.78472131639,4,4,"Italy",2015,19,8,2,29,38,7,6,57,"Italy",2014,38,10,6,52
"Arsenal",8,8,8,8,5914.48886233886,2,4,"England",2015,19,1,15,39,38,2,29,71,"England",2014,38,3,35,75
"AS Roma",15,21,35529015,109000021,2378.53278940632,4,4,"Italy",2015,19,5,14,34,38,3,42,80,"Italy",2014,38,2,23,70
"Aston Villa",19,15,65500019,59500015,8173.39647291359,4,4,"England",2015,19,20,-19,8,38,20,-49,17,"England",2014,38,17,-26,38
"Atalanta BC",16,8,9830016,17300008,2087.01469166592,4,2,"Italy",2015,19,11,-3,24,38,13,-6,45,"Italy",2014,38,17,-19,37
"Athletic",6,0,20000006,0,0,3,0,"Spain",2015,19,8,5,28,38,5,13,62,"Spain",2014,38,7,1,55
"Atlético Madrid",10,13,104000010,98000013,6374.31281043941,4,4,"Spain",2015,19,2,19,44,38,3,45,88,"Spain",2014,38,3,38,78
"Barcelona",6,8,51000006,65300008,1283.70401700263,4,4,"Spain",2015,19,1,31,45,38,1,83,91,"Spain",2014,38,1,89,94
"Bay. Leverkusen",18,12,81000018,92700012,3942.96277452438,4,4,"Germany",2015,17,5,5,27,34,3,16,60,"Germany",2014,34,4,25,61
"Bor. Dortmund",10,6,23000010,32500006,400,4,4,"Germany",2015,17,2,24,38,34,2,48,78,"Germany",2014,34,7,5,46
"Bor. M'gladbach",8,3,33000008,12000003,738.529369668249,3,3,"Germany",2015,17,4,4,29,34,4,17,55,"Germany",2014,34,3,27,66
"Celta de Vigo",6,2,9500006,12000002,200,3,2,"Spain",2015,19,5,1,31,38,6,-8,60,"Spain",2014,38,8,3,51
"Chelsea",21,21,140900021,45850021,15477.5943245181,4,4,"England",2015,19,14,-6,20,38,10,6,50,"England",2014,38,1,41,87
"Chievo Verona",13,12,4500013,3280012,9722.8409980698,4,4,"Italy",2015,19,10,4,26,38,9,-2,50,"Italy",2014,38,14,-13,43
"Crystal Palace",8,2,28800008,2,1047.6594921711,4,1,"England",2015,19,5,7,31,38,15,-12,42,"England",2014,38,10,-4,48
"Dep. La Coruña",10,5,8000010,5,2589.02023519782,4,2,"Spain",2015,19,9,3,27,38,15,-16,42,"Spain",2014,38,17,-25,35
"E. Frankfurt",9,6,7750009,10500006,8053.64105912105,2,3,"Germany",2015,17,14,-7,17,34,16,-18,36,"Germany",2014,34,9,-6,43
"Espanyol",10,3,1500010,7200003,1553,3,3,"Spain",2015,19,13,-13,21,38,14,-34,43,"Spain",2014,38,10,-4,49
"Everton",11,3,27000011,3,4165.92860555642,3,2,"England",2015,19,11,7,26,38,11,4,47,"England",2014,38,11,-2,47
"FC Augsburg",8,4,20200008,52000004,1009.84510961203,3,3,"Germany",2015,17,12,-5,19,34,12,-10,38,"Germany",2014,34,5,0,49
"FC Bayern",9,4,95250009,11000004,516.68523147888,4,3,"Germany",2015,17,1,38,46,34,1,63,88,"Germany",2014,34,1,62,79
"FC Empoli",18,8,6350018,10500008,3405.84426277756,4,4,"Italy",2015,19,7,1,30,38,11,-9,46,"Italy",2014,38,15,-6,42
"FC Lorient",10,1,8130010,12000001,399,2,1,"France",2015,19,8,1,26,38,15,-11,46,"France",2014,38,16,-6,43
"FC Nantes",12,8,4800012,15550008,2087.52093494457,3,4,"France",2015,19,13,-3,24,38,14,-11,48,"France",2014,38,14,-11,45
"FC Schalke 04",11,7,33100011,93000007,1466.80775559652,4,4,"Germany",2015,17,6,0,27,34,5,2,52,"Germany",2014,34,6,2,48
"Fiorentina",16,9,18050016,14800009,5147.5446921368,4,4,"Italy",2015,19,4,18,38,38,5,18,64,"Italy",2014,38,4,15,64
"G. Bordeaux",6,3,3000006,4500003,891.084765316383,0,3,"France",2015,19,14,-5,23,38,11,-7,50,"France",2014,38,6,3,63
"Genoa",16,12,5450016,13800012,5349.53796735241,4,4,"Italy",2015,19,17,-7,19,38,10,-3,46,"Italy",2014,38,6,15,59
"Getafe",12,1,12,3000001,399,4,1,"Spain",2015,19,12,-6,23,38,19,-30,36,"Spain",2014,38,14,-31,37
"Granada CF",17,10,2650017,9200010,9537.36080640219,4,4,"Spain",2015,19,17,-16,17,38,17,-23,39,"Spain",2014,38,18,-35,35
"Guingamp",10,3,1950010,6000003,2979.02998614845,1,3,"France",2015,19,18,-10,19,38,16,-9,44,"France",2014,38,10,-14,49
"Hamburger SV",11,7,23650011,11000007,1816.43099415205,3,4,"Germany",2015,17,10,-4,22,34,10,-6,41,"Germany",2014,34,16,-25,35
"Hannover 96",14,4,13300014,13500004,2250.21025641026,2,3,"Germany",2015,17,17,-11,14,34,18,-31,25,"Germany",2014,34,13,-16,37
"Hellas Verona",15,5,6300015,5,2141.23439348508,4,4,"Italy",2015,19,20,-19,8,38,20,-29,28,"Italy",2014,38,13,-16,46
"Hertha BSC",9,5,6800009,8500005,2530.41607682324,3,3,"Germany",2015,17,3,8,32,34,7,0,50,"Germany",2014,34,15,-16,35
"Inter",18,19,98300018,91800019,8947.33839327564,4,4,"Italy",2015,19,3,12,39,38,4,12,67,"Italy",2014,38,8,11,55
"Juventus",20,20,185200020,80530020,10324.2362774001,4,4,"Italy",2015,19,2,18,39,38,1,55,91,"Italy",2014,38,1,48,87
"Lazio",11,4,28650011,4,1422.24404003347,2,2,"Italy",2015,19,9,-4,27,38,8,0,54,"Italy",2014,38,3,33,69
"Leicester",13,7,31200013,7,2795.72540197062,3,3,"England",2015,19,2,12,39,38,1,32,81,"England",2014,38,14,-9,41
"Levante",8,4,3350008,4,1440.25079365079,1,2,"Spain",2015,19,20,-18,14,38,20,-33,32,"Spain",2014,38,15,-33,37
"Liverpool",14,15,118400014,81500015,7109.54303560655,4,4,"England",2015,19,7,0,30,38,8,13,60,"England",2014,38,6,4,62
"LOSC Lille",16,9,14900016,25600009,1885.68257575758,3,4,"France",2015,19,11,2,24,38,5,12,60,"France",2014,38,8,1,56
"Málaga CF",9,7,5450009,50200007,1456.71428571429,3,4,"Spain",2015,19,10,-1,24,38,8,3,48,"Spain",2014,38,9,-6,50
"Man City",13,12,278900013,64936012,4203.57708239265,4,4,"England",2015,19,3,17,36,38,4,30,66,"England",2014,38,2,45,79
"Man Utd",13,10,216000013,98500010,2876.60027217596,4,4,"England",2015,19,6,6,30,38,5,14,66,"England",2014,38,4,25,70
"Marseille",16,12,20750016,52700012,6087.85908558216,4,4,"France",2015,19,10,7,25,38,13,6,48,"France",2014,38,4,34,69
"Monaco",18,15,83560018,258000015,4620.34515068852,4,4,"France",2015,19,2,2,32,38,3,7,65,"France",2014,38,3,25,71
"Montpellier",10,5,2725010,6000005,2592,1,2,"France",2015,19,15,-3,22,38,12,2,49,"France",2014,38,7,7,56
"Newcastle",18,6,87560018,4300006,6299.77968470622,3,3,"England",2015,19,18,-15,17,38,18,-21,37,"England",2014,38,15,-23,39
"OGC Nice",16,7,3100016,14000007,5545.95368502655,3,3,"France",2015,19,5,9,29,38,4,17,63,"France",2014,38,11,-9,48
"Olympique Lyon",9,5,54200009,20600005,399,3,4,"France",2015,19,9,0,26,38,2,24,65,"France",2014,38,2,39,75
"Paris SG",8,10,141100008,19900010,1201,4,4,"France",2015,19,1,39,51,38,1,83,96,"France",2014,38,1,47,83
"Rayo Vallecano",9,0,100009,0,0,3,0,"Spain",2015,19,19,-22,15,38,18,-21,38,"Spain",2014,38,11,-22,49
"Real Madrid",6,7,76500006,15650007,1155.40381603975,3,4,"Spain",2015,19,3,34,40,38,2,76,90,"Spain",2014,38,2,80,92
"Real Sociedad",7,1,24100007,1,95.5833961737187,3,0,"Spain",2015,19,14,-5,20,38,9,-3,48,"Spain",2014,38,12,-7,46
"Saint-Étienne",13,9,12600013,33100009,4457.15908033881,3,3,"France",2015,19,6,0,29,38,6,5,58,"France",2014,38,5,21,69
"Sampdoria",19,12,23870019,7750012,6319.48972406332,4,4,"Italy",2015,19,14,-2,23,38,15,-13,40,"Italy",2014,38,7,6,56
"Sassuolo",11,7,18350011,24200007,2650.54281128153,4,4,"Italy",2015,19,6,6,32,38,6,9,61,"Italy",2014,38,12,-8,49
"SC Bastia",5,2,5,1700002,614,1,1,"France",2015,19,16,-4,22,38,10,-6,50,"France",2014,38,12,-9,47
"SD Eibar",15,2,1000015,2,493.31403991937,4,0,"Spain",2015,19,6,7,30,38,13,-12,43,"Spain",2014,38,16,-21,35
"Sevilla FC",12,8,28000012,55600008,3398.86872172902,4,4,"Spain",2015,19,7,5,29,38,7,1,52,"Spain",2014,38,5,26,76
"SM Caen",13,4,4650013,15000004,850.046162464986,3,3,"France",2015,19,4,-1,30,38,7,-13,54,"France",2014,38,13,-1,46
"Southampton",10,5,54900010,52700005,1363.30288185079,3,3,"England",2015,19,12,3,24,38,6,18,63,"England",2014,38,7,21,60
"Spurs",12,9,101000012,57300009,1692.8,4,4,"England",2015,19,4,18,35,38,3,34,70,"England",2014,38,5,5,64
"SSC Napoli",11,7,29550011,13500007,2031.96065339532,4,4,"Italy",2015,19,1,23,41,38,2,48,82,"Italy",2014,38,5,16,63
"Stade Reims",7,2,2400007,1500002,1243.30952380952,1,1,"France",2015,19,17,-5,21,38,18,-13,39,"France",2014,38,15,-19,44
"Stade Rennais",14,10,5000014,10,8217.74404187274,3,3,"France",2015,19,7,4,27,38,8,-2,52,"France",2014,38,9,-7,50
"Stoke City",9,7,29400009,23200007,2781.09443987496,4,3,"England",2015,19,10,1,29,38,9,-14,51,"England",2014,38,9,3,54
"Sunderland",15,9,32000015,10500009,4760.87705627705,4,3,"England",2015,19,19,-19,12,38,17,-14,39,"England",2014,38,16,-22,38
"Swansea",11,7,17350011,7,3610.46932802835,3,3,"England",2015,19,17,-8,19,38,12,-10,47,"England",2014,38,8,-3,56
"Torino",11,7,35600011,18000007,2616.61059413431,3,2,"Italy",2015,19,13,-1,23,38,12,-3,45,"Italy",2014,38,9,3,54
"Toulouse",7,4,2900007,10000004,1016.10476190476,1,1,"France",2015,19,19,-12,17,38,17,-10,40,"France",2014,38,17,-21,42
"TSG Hoffenheim",10,5,27400010,52600005,400,2,3,"Germany",2015,17,18,-8,13,34,15,-15,37,"Germany",2014,34,8,-6,44
"Udinese Calcio",17,20,6200017,57400020,11340.296880488,4,4,"Italy",2015,19,12,-9,24,38,16,-25,39,"Italy",2014,38,16,-13,41
"US Palermo",14,4,8400014,8400004,8780.49942869874,3,2,"Italy",2015,19,16,-10,21,38,17,-27,39,"Italy",2014,38,11,-2,49
"Valencia",14,9,143900014,47200009,2695.82458381828,4,4,"Spain",2015,19,11,4,23,38,11,-2,44,"Spain",2014,38,4,38,77
"VfB Stuttgart",13,7,11250013,17700007,3988.15318503954,4,3,"Germany",2015,17,15,-15,15,34,17,-25,33,"Germany",2014,34,14,-18,36
"VfL Wolfsburg",8,6,102100008,196000006,602,3,4,"Germany",2015,17,7,5,26,34,8,-2,45,"Germany",2014,34,2,34,69
"Villarreal",12,8,47200012,21500008,3438.29450069744,4,4,"Spain",2015,19,4,10,39,38,4,9,64,"Spain",2014,38,6,11,60
"Werder Bremen",12,6,9300012,6100006,1938.39083488163,2,3,"Germany",2015,17,16,-15,15,34,13,-15,38,"Germany",2014,34,10,-15,43
"West Brom",6,6,38700006,9520006,1183.80705481907,2,4,"England",2015,19,13,-6,23,38,14,-14,43,"England",2014,38,13,-13,44
"West Ham",20,9,46900020,4000009,5895.78000433262,4,4,"England",2015,19,8,5,29,38,7,14,62,"England",2014,38,12,-3,47
"1. FC Köln",8,2,5100008,16000002,257,3,2,"Germany",2016,17,7,6,26,34,5,9,49,"Germany",2015,34,9,-4,43
"1.FSV Mainz 05",10,6,27150010,10200006,2608.24560039006,3,3,"Germany",2016,17,11,-4,21,34,15,-11,37,"Germany",2015,34,6,4,50
"AC Milan",14,8,22660014,22250008,2444.93164241178,5,4,"Italy",2016,19,3,9,39,38,6,12,63,"Italy",2015,38,7,6,57
"Arsenal",14,6,170000014,9700006,1008.48590789477,4,3,"England",2016,19,3,22,40,38,5,33,75,"England",2015,38,2,29,71
"AS Roma",23,22,98500023,26300022,16173.702483438,5,5,"Italy",2016,19,2,22,41,38,2,52,87,"Italy",2015,38,3,42,80
"Atalanta BC",18,12,12400018,22000012,3273.36414926802,4,5,"Italy",2016,19,6,9,35,38,4,21,72,"Italy",2015,38,13,-6,45
"Athletic",4,8,4,8,3342.00631206534,3,2,"Spain",2016,19,7,3,29,38,7,10,63,"Spain",2015,38,5,13,62
"Atlético Madrid",15,19,78800015,38000019,9264.99892869171,4,5,"Spain",2016,19,4,18,35,38,3,43,78,"Spain",2015,38,3,45,88
"Barcelona",10,14,154750010,14000014,1253.06008971737,5,5,"Spain",2016,19,3,34,41,38,2,79,90,"Spain",2015,38,1,83,91
"Bay. Leverkusen",12,13,45500012,24200013,3134.99138464667,3,3,"Germany",2016,17,8,1,24,34,12,-2,41,"Germany",2015,34,3,16,60
"Bologna",17,9,28600017,29000009,1686.42658142366,5,5,"Italy",2016,19,15,-9,20,38,15,-18,41,"Italy",2015,38,14,-12,42
"Bor. Dortmund",9,5,132500009,110500005,952,3,4,"Germany",2016,17,4,17,30,34,3,32,64,"Germany",2015,34,2,48,78
"Bor. M'gladbach",10,3,32500010,45000003,3559.57580883713,3,3,"Germany",2016,17,14,-10,17,34,9,-4,45,"Germany",2015,34,4,17,55
"Bournemouth",14,7,42100014,500007,5304.4783913242,4,3,"England",2016,19,10,-5,24,38,9,-12,46,"England",2015,38,16,-22,42
"Celta de Vigo",9,3,7200009,18000003,1118.47770073861,3,1,"Spain",2016,19,8,-4,27,38,13,-16,45,"Spain",2015,38,6,-8,60
"Chelsea",25,29,190800025,46500029,17698.2563110578,5,5,"England",2016,19,1,29,49,38,1,52,93,"England",2015,38,10,6,50
"Chievo Verona",11,7,5822011,2000007,2798.87438094405,4,3,"Italy",2016,19,11,-4,25,38,14,-18,43,"Italy",2015,38,9,-2,50
"Crystal Palace",13,14,60600013,62500014,5884.85739283611,3,3,"England",2016,19,17,-6,16,38,14,-13,41,"England",2015,38,15,-12,42
"Darmstadt 98",20,7,3700020,5100007,6420.47214504487,4,3,"Germany",2016,17,18,-19,9,34,18,-35,25,"Germany",2015,34,14,-15,38
"Dep. La Coruña",16,11,7000016,40000011,5081.50314344024,4,3,"Spain",2016,19,16,-5,19,38,16,-18,36,"Spain",2015,38,15,-16,42
"E. Frankfurt",16,6,2200016,4550006,5152.55784593619,4,3,"Germany",2016,17,6,7,29,34,11,-7,42,"Germany",2015,34,16,-18,36
"Espanyol",12,16,21600012,11100016,1783.30986303835,5,4,"Spain",2016,19,9,-1,26,38,8,-1,56,"Spain",2015,38,14,-34,43
"Everton",15,9,68100015,55600009,3368.36546484245,4,3,"England",2016,19,7,2,27,38,7,18,61,"England",2015,38,11,4,47
"FC Augsburg",9,8,22200009,10000008,4194.3085048277,3,2,"Germany",2016,17,13,-6,18,34,13,-16,38,"Germany",2015,34,12,-10,38
"FC Bayern",4,5,70000004,55000005,257,1,4,"Germany",2016,17,1,30,42,34,1,67,82,"Germany",2015,34,1,63,88
"FC Empoli",13,7,3500013,13500007,3817.20042102566,5,5,"Italy",2016,19,17,-15,17,38,18,-32,32,"Italy",2015,38,11,-9,46
"FC Ingolstadt",12,5,11450012,4050005,1467,4,3,"Germany",2016,17,17,-14,12,34,17,-21,32,"Germany",2015,34,11,-9,40
"FC Lorient",18,8,6800018,52000008,1775.28150460651,2,3,"France",2016,19,20,-18,15,38,18,-26,36,"France",2015,38,15,-11,46
"FC Nantes",9,3,5000009,700003,1857.72103619094,1,3,"France",2016,19,12,-13,22,38,7,-14,51,"France",2015,38,14,-11,48
"FC Schalke 04",18,7,47500018,58300007,3046.19854065667,4,3,"Germany",2016,17,10,2,21,34,10,5,43,"Germany",2015,34,5,2,52
"Fiorentina",23,20,14900023,48500020,7631.04839150465,5,5,"Italy",2016,19,8,5,30,38,8,6,60,"Italy",2015,38,5,18,64
"G. Bordeaux",8,10,7850008,10,4657.51685922333,4,3,"France",2016,19,10,-6,25,38,6,10,59,"France",2015,38,11,-7,50
"Genoa",17,11,23200017,20800011,8038.48007255437,5,5,"Italy",2016,19,12,-2,23,38,16,-26,36,"Italy",2015,38,10,-3,46
"Granada CF",27,14,4750027,21500014,12368.81971677,5,5,"Spain",2016,19,19,-26,10,38,20,-52,20,"Spain",2015,38,17,-23,39
"Guingamp",6,4,6,2500004,1579.30508336057,1,1,"France",2016,19,5,6,30,38,10,-7,50,"France",2015,38,16,-9,44
"Hamburger SV",12,9,32450012,4900009,2431.20716631306,3,3,"Germany",2016,17,16,-18,13,34,14,-28,38,"Germany",2015,34,10,-6,41
"Hertha BSC",4,1,9200004,3000001,257,2,1,"Germany",2016,17,5,6,30,34,6,-4,49,"Germany",2015,34,7,0,50
"Inter",17,11,125050017,16000011,2186.88817822066,5,5,"Italy",2016,19,7,8,33,38,7,23,62,"Italy",2015,38,4,12,67
"Juventus",14,19,145200014,168555019,9367.15197928303,5,5,"Italy",2016,19,1,27,48,38,1,50,91,"Italy",2015,38,1,55,91
"Lazio",18,9,31950018,23900009,4486.01916592691,3,4,"Italy",2016,19,5,12,37,38,5,23,70,"Italy",2015,38,8,0,54
"Leicester",10,3,74500010,46800003,3550.14451805827,3,2,"England",2016,19,15,-7,20,38,12,-15,44,"England",2015,38,1,32,81
"Liverpool",16,12,79900016,72300012,8650.19509105166,3,3,"England",2016,19,2,25,43,38,4,36,76,"England",2015,38,8,13,60
"LOSC Lille",8,12,4500008,43500012,3778.19597489771,3,3,"France",2016,19,13,-7,21,38,11,-7,46,"France",2015,38,5,12,60
"Málaga CF",11,2,10535011,2,2496.95697399184,4,2,"Spain",2016,19,15,-6,21,38,11,-6,46,"Spain",2015,38,8,3,48
"Man City",22,23,160300022,17200023,12399.2974065532,4,5,"England",2016,19,5,18,39,38,3,41,78,"England",2015,38,4,30,66
"Man Utd",6,10,185000006,6450010,1491.47737175271,4,5,"England",2016,19,6,10,36,38,6,25,69,"England",2015,38,5,14,66
"Marseille",21,11,10200021,76400011,12462.9877827718,4,5,"France",2016,19,6,3,30,38,5,16,62,"France",2015,38,13,6,48
"Monaco",15,17,45000015,15950017,9480.82974074127,4,3,"France",2016,19,2,36,42,38,1,76,95,"France",2015,38,3,7,65
"Montpellier",6,5,6,8200005,147.780174914202,2,3,"France",2016,19,11,-3,22,38,15,-18,39,"France",2015,38,12,2,49
"OGC Nice",17,7,11250017,15500007,11876.1950839185,3,3,"France",2016,19,1,21,44,38,3,27,78,"France",2015,38,4,17,63
"Olympique Lyon",11,5,12600011,27300005,3604.10372826198,2,2,"France",2016,19,4,18,39,38,4,29,67,"France",2015,38,2,24,65
"Paris SG",12,14,68500012,102500014,11207.9579704704,4,5,"France",2016,19,3,23,39,38,2,56,87,"France",2015,38,1,83,96
"Real Betis",12,6,19900012,8000006,2216.57603072656,3,3,"Spain",2016,19,14,-10,22,38,15,-23,39,"Spain",2015,38,10,-18,45
"Real Madrid",7,14,30000007,40500014,1275.39820246396,4,3,"Spain",2016,19,1,30,43,38,1,65,93,"Spain",2015,38,2,76,90
"Real Sociedad",10,5,11000010,4000005,3520.40344712363,3,2,"Spain",2016,19,5,6,35,38,6,6,64,"Spain",2015,38,9,-3,48
"Saint-Étienne",10,8,7000010,1250008,7205.01687688157,3,3,"France",2016,19,8,2,26,38,8,-1,50,"France",2015,38,6,5,58
"Sampdoria",24,18,27300024,63472018,3952.64984875199,5,5,"Italy",2016,19,13,-4,23,38,10,-6,48,"Italy",2015,38,15,-13,40
"Sassuolo",16,13,25690016,40200013,1988.39154308112,5,5,"Italy",2016,19,16,-9,18,38,12,-5,46,"Italy",2015,38,6,9,61
"SC Bastia",15,3,250015,2500003,2906.76614248358,4,2,"France",2016,19,16,-6,19,38,20,-25,34,"France",2015,38,10,-6,50
"SCO Angers",12,4,6000012,400004,3946.69293934017,2,2,"France",2016,19,17,-9,19,38,12,-9,46,"France",2015,38,9,2,50
"SD Eibar",20,10,8600020,5000010,5058.49209608676,5,2,"Spain",2016,19,10,-3,26,38,10,5,54,"Spain",2015,38,13,-12,43
"Sevilla FC",15,12,74000015,73950012,1877.63678446179,4,5,"Spain",2016,19,2,17,42,38,4,20,72,"Spain",2015,38,7,1,52
"SM Caen",9,4,4250009,4,3415.90809293798,3,2,"France",2016,19,19,-13,18,38,17,-29,37,"France",2015,38,7,-13,54
"Southampton",7,6,51900007,60600006,1606.59234329416,3,3,"England",2016,19,9,-3,24,38,8,-7,46,"England",2015,38,6,18,63
"Sporting Gijón",16,5,700016,5,4435.3582935637,5,2,"Spain",2016,19,18,-18,13,38,18,-30,31,"Spain",2015,38,16,-22,39
"Spurs",9,9,84600009,48400009,329.845254538726,4,4,"England",2016,19,4,23,39,38,2,60,86,"England",2015,38,3,34,70
"SSC Napoli",13,16,98500013,105600016,3555.94786931084,5,5,"Italy",2016,19,4,20,38,38,3,55,86,"Italy",2015,38,2,48,82
"Stade Rennais",14,11,2270014,40400011,4679.09800069787,3,3,"France",2016,19,7,-3,28,38,9,-6,50,"France",2015,38,8,-2,52
"Stoke City",8,7,25495008,5300007,2638.44014261797,3,3,"England",2016,19,14,-10,21,38,13,-15,44,"England",2015,38,9,-14,51
"Sunderland",17,9,57400017,9000009,5427.76349199665,4,5,"England",2016,19,18,-18,14,38,20,-40,24,"England",2015,38,17,-14,39
"Swansea",11,11,32000011,35300011,6372.83466827334,3,5,"England",2016,19,20,-23,12,38,15,-25,41,"England",2015,38,12,-10,47
"Torino",17,14,26900017,23000014,4915.7361511844,5,5,"Italy",2016,19,9,9,29,38,9,5,53,"Italy",2015,38,12,-3,45
"Toulouse",16,11,7000016,9500011,8503.9407912935,4,5,"France",2016,19,9,1,26,38,13,-4,44,"France",2015,38,17,-10,40
"TSG Hoffenheim",13,9,27438013,27500009,4285.53321017345,3,3,"Germany",2016,17,3,13,31,34,4,27,62,"Germany",2015,34,15,-15,37
"UD Las Palmas",10,3,2400010,3,1340,2,1,"Spain",2016,19,11,-2,25,38,14,-21,39,"Spain",2015,38,12,-8,44
"Udinese Calcio",20,13,21000020,21000013,11904.2296588512,5,5,"Italy",2016,19,10,-1,25,38,13,-9,45,"Italy",2015,38,16,-25,39
"US Palermo",13,4,6980013,6350004,2406.99929753513,3,2,"Italy",2016,19,18,-20,10,38,19,-44,26,"Italy",2015,38,17,-27,39
"Valencia",14,19,34000014,192100019,5693.14557473929,5,5,"Spain",2016,19,13,-4,22,38,12,-9,46,"Spain",2015,38,11,-2,44
"VfL Wolfsburg",15,8,51500015,49450008,2245.10749387352,3,3,"Germany",2016,17,12,-8,19,34,16,-18,37,"Germany",2015,34,8,-2,45
"Villarreal",17,14,72950017,41250014,2502.4106259896,5,4,"Spain",2016,19,6,12,31,38,5,23,67,"Spain",2015,38,4,9,64
"Watford",19,16,70950019,24700016,8572.42865637937,5,5,"England",2016,19,13,-11,22,38,17,-28,40,"England",2015,38,13,-10,45
"Werder Bremen",14,8,21700014,14150008,5054.00654734724,4,3,"Germany",2016,17,15,-15,16,34,8,-3,45,"Germany",2015,34,13,-15,38
"West Brom",11,5,31100011,5,2592.48181095059,4,3,"England",2016,19,8,2,26,38,10,-8,45,"England",2015,38,14,-14,43
"West Ham",18,8,67300018,11700008,6549.8447089786,4,3,"England",2016,19,12,-10,22,38,11,-17,45,"England",2015,38,7,14,62
"1. FC Köln",7,2,34000007,2,1147,2,1,"Germany",2017,17,18,-22,6,34,18,-35,22,"Germany",2016,34,5,9,49
"1.FSV Mainz 05",7,5,12750007,19300005,1989.95454545455,3,3,"Germany",2017,17,15,-9,17,34,14,-14,36,"Germany",2016,34,15,-11,37
"AC Milan",19,14,179780019,25030014,4713.33745164858,4,3,"Italy",2017,19,11,-3,25,38,6,14,64,"Italy",2016,38,6,12,63
"Alavés",16,6,12330016,2500006,4299.8565199183,4,3,"Spain",2017,19,17,-13,18,38,14,-10,47,"Spain",2016,38,9,-2,55
"Arsenal",6,11,53000006,112500011,611.540823191731,3,3,"England",2017,19,6,11,34,38,6,23,63,"England",2016,38,5,33,75
"AS Roma",16,15,79650016,93250015,6648.39746795301,4,3,"Italy",2017,19,5,17,40,38,3,33,77,"Italy",2016,38,2,52,87
"Atalanta BC",16,11,50370016,85730011,3184.24937341372,4,3,"Italy",2017,19,8,4,27,38,7,18,60,"Italy",2016,38,4,21,72
"Athletic",5,1,5,1,395.846582803162,1,1,"Spain",2017,19,12,1,25,38,16,-8,43,"Spain",2016,38,7,10,63
"Atlético Madrid",3,6,35600003,32000006,472.696889230481,2,3,"Spain",2017,19,2,20,42,38,2,36,79,"Spain",2016,38,3,43,78
"Barcelona",6,6,367700006,226000006,400.953374334543,3,3,"Spain",2017,19,1,43,51,38,1,70,93,"Spain",2016,38,2,79,90
"Bay. Leverkusen",7,9,56000007,105600009,1451,2,3,"Germany",2017,17,4,11,28,34,5,14,55,"Germany",2016,34,12,-2,41
"Bologna",15,6,12000015,6,2883.58321108803,4,3,"Italy",2017,19,12,-4,24,38,15,-12,39,"Italy",2016,38,15,-18,41
"Bor. Dortmund",12,10,90840012,329500010,1513.64545454545,3,3,"Germany",2017,17,3,15,28,34,4,17,55,"Germany",2016,34,3,32,64
"Bor. M'gladbach",9,5,37250009,24000005,3382.26350108959,3,3,"Germany",2017,17,6,-1,28,34,9,-5,47,"Germany",2016,34,9,-4,45
"Bournemouth",9,4,34300009,4,2404.29355514978,3,1,"England",2017,19,18,-13,16,38,12,-16,44,"England",2016,38,9,-12,46
